Note     AustraliaCanada   Denmark  UK       Japan    Korea    Norway   Sweden   SwitzerlaAustria  Belgium  France   Germany  Spain    Italy    Finland  NetherlandsUnited Stat         AustraliaCanada   Denmark  UK      Japan    Korea    Norway   Sweden   SwitzerlaAustria  Belgium  France   Germany  Spain    Italy    Finland  NetherlanUnited State
         AUS      CAN      DEN      GBR      JPN      KOR      NOR      SWE      CHE      AUT      BEL      FRA      GER      ESP      ITA      FIN      NET        USA                 AUS      CAN      DEN      GBR     JPN      KOR      NOR      SWE      CHE      AUT      BEL      FRA      GER      ESP      ITA      FIN      NET      USA         
         m_1      m_2      m_3      m_4      m_5      m_6      m_7      m_8      m_9      m_10     m_11     m_12     m_13     m_14     m_15     m_16     m_17       m_18                M_AUS    M_CAN    M_DEN    M_GBR   M_JPN    M_KOR    M_NOR    M_SWE    M_CHE    M_AUT    M_BEL    M_FRA    M_GER    M_ESP    M_ITA    M_FIN    M_NET    M_USA       
   1992.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1992.4   237683   375353   502109     ###506794000 96258700   547240   682850   386571  1850290  3470071  4225200  1835690 45211600980943000   293052   477392     3954726
   1993.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1993.1   240548   387474   503861     ###504684000 97500100   533810   671420   393728  1867689  3523471  4163100  1820110 45279000956788000   291046   487823     3909612
   1993.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1993.2   242872   393669   541591     ###507639000100760500   546380   669600   396274  1881140  3677471  4195600  1853059 46746000972804000   286663   497132     3939153
   1993.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1993.3   245623   414540   551328     ###506467000111387700   542920   673460   398883  1879023  3728071  4164100  1885764 47213600983437000   287002   490358     3942510
   1993.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1993.4   251291   418768   601058     ###518188000112219100   550210   710060   420968  1951751  3988471  4386000  2048135 49461800      ###   297464   504787     4013726
   1994.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1994.1   258363   416838   606859     ###514857000112211400   559600   713160   429942  1967199  4144571  4353500  2038800 49330900      ###   296567   507519     4018681
   1994.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1994.2   259957   440009   584512     ###518476000117849200   576760   713400   431720  2000121  4278671  4386000  2052260 50537700      ###   301192   508165     4000511
   1994.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1994.3   264304   444809   554704     ###520399000122747200   585180   703900   429469  2003155  4210971  4414200  2042611 51245300      ###   297974   506679     3967785
   1994.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1994.4   276304   452290   541245     ###534101000133178700   586100   712330   438464  2055713  4155771  4684800  2098640 52988300      ###   301576   506160     4018130
   1995.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1995.1   277247   450461   528589     ###530500000131779700   588480   693430   437538  2071006  4190571  4674200  2043490 53117700      ###   306458   513325     4018298
